result,queue,major,minor
HIT,LLJO,LLJO,LIO
HIT,LLJO,LLJO,LIS
HIT,LLJO,LLJO,LIZ
HIT,LLJO,LLJO,LJT
HIT,LLJO,LLJO,LJI
HIT,LLJO,LLJO,LJO
HIT,LLJO,LLJO,LJS
HIT,LLJO,LLJO,LJZ
HIT,LLJO,LLJO,LOT
HIT,LLJO,LLJO,LOI
HIT,LLJO,LLJO,LOJ
HIT,LLJO,LLJO,LOS
HIT,LLJO,LLJO,LOZ
HIT,LLJO,LLJO,LST
HIT,LLJO,LLJO,LSI
HIT,LLJO,LLJO,LSJ
HIT,LLJO,LLJO,LSO
HIT,LLJO,LLJO,LSZ
HIT,LLJO,LLJO,LZT
HIT,LLJO,LLJO,LZI
HIT,LLJO,LLJO,LZJ
HIT,LLJO,LLJO,LZO
HIT,LLJO,LLJO,LZS
HIT,LLJO,LLJO,OTI
HIT,LLJO,LLJO,OTJ
HIT,LLJO,LLJO,OTL
HIT,LLJO,LLJO,OTS
HIT,LLJO,LLJO,OTZ
MISS,LLJO,LLJO,OIT
MISS,LLJO,LLJO,OIJ
MISS,LLJO,LLJO,OIL
MISS,LLJO,LLJO,OIS
MISS,LLJO,LLJO,OIZ
MISS,LLJO,LLJO,OJT
MISS,LLJO,LLJO,OJI
MISS,LLJO,LLJO,OJL
MISS,LLJO,LLJO,OJS
MISS,LLJO,LLJO,OJZ
MISS,LLJO,LLJO,OLT
MISS,LLJO,LLJO,OLI
MISS,LLJO,LLJO,OLJ
MISS,LLJO,LLJO,OLS
MISS,LLJO,LLJO,OLZ
MISS,LLJO,LLJO,OST
MISS,LLJO,LLJO,OSI
MISS,LLJO,LLJO,OSJ
MISS,LLJO,LLJO,OSL
MISS,LLJO,LLJO,OSZ
MISS,LLJO,LLJO,OZT
MISS,LLJO,LLJO,OZI
MISS,LLJO,LLJO,OZJ
MISS,LLJO,LLJO,OZL
MISS,LLJO,LLJO,OZS
MISS,LLJO,LLJO,STI
MISS,LLJO,LLJO,STJ
MISS,LLJO,LLJO,STL
MISS,LLJO,LLJO,STO
MISS,LLJO,LLJO,STZ
MISS,LLJO,LLJO,SIT
MISS,LLJO,LLJO,SIJ
MISS,LLJO,LLJO,SIL
MISS,LLJO,LLJO,SIO
MISS,LLJO,LLJO,SIZ
MISS,LLJO,LLJO,SJT
MISS,LLJO,LLJO,SJI
MISS,LLJO,LLJO,SJL
MISS,LLJO,LLJO,SJO
MISS,LLJO,LLJO,SJZ
MISS,LLJO,LLJO,SLT
MISS,LLJO,LLJO,SLI
MISS,LLJO,LLJO,SLJ
MISS,LLJO,LLJO,SLO
MISS,LLJO,LLJO,SLZ
MISS,LLJO,LLJO,SOT
MISS,LLJO,LLJO,SOI
MISS,LLJO,LLJO,SOJ
MISS,LLJO,LLJO,SOL
MISS,LLJO,LLJO,SOZ
MISS,LLJO,LLJO,SZT
MISS,LLJO,LLJO,SZI
MISS,LLJO,LLJO,SZJ
MISS,LLJO,LLJO,SZL
MISS,LLJO,LLJO,SZO
MISS,LLJO,LLJO,ZTI
MISS,LLJO,LLJO,ZTJ
MISS,LLJO,LLJO,ZTL
MISS,LLJO,LLJO,ZTO
MISS,LLJO,LLJO,ZTS
MISS,LLJO,LLJO,ZIT
MISS,LLJO,LLJO,ZIJ
MISS,LLJO,LLJO,ZIL
MISS,LLJO,LLJO,ZIO
MISS,LLJO,LLJO,ZIS
MISS,LLJO,LLJO,ZJT
MISS,LLJO,LLJO,ZJI
MISS,LLJO,LLJO,ZJL
MISS,LLJO,LLJO,ZJO
MISS,LLJO,LLJO,ZJS
MISS,LLJO,LLJO,ZLT
MISS,LLJO,LLJO,ZLI
MISS,LLJO,LLJO,ZLJ
MISS,LLJO,LLJO,ZLO
MISS,LLJO,LLJO,ZLS
MISS,LLJO,LLJO,ZOT
MISS,LLJO,LLJO,ZOI
MISS,LLJO,LLJO,ZOJ
MISS,LLJO,LLJO,ZOL
MISS,LLJO,LLJO,ZOS
MISS,LLJO,LLJO,ZST
MISS,LLJO,LLJO,ZSI
MISS,LLJO,LLJO,ZSJ
MISS,LLJO,LLJO,ZSL
MISS,LLJO,LLJO,ZSO
MISS,LLJO,LLOJ
MISS,LLJO,LJLO
MISS,LLJO,LJOL
MISS,LLJO,LOLJ
MISS,LLJO,LOJL
MISS,LLJO,JLLO
MISS,LLJO,JLOL
MISS,LLJO,JOLL
MISS,LLJO,OLLJ
MISS,LLJO,OLJL
MISS,LLJO,OJLL
HIT,LLJS,LLJS
HIT,LLJS,LLSJ,TIJ
HIT,LLJS,LLSJ,TIL
HIT,LLJS,LLSJ,TIO
HIT,LLJS,LLSJ,TIS
HIT,LLJS,LLSJ,TIZ
HIT,LLJS,LLSJ,TJI
HIT,LLJS,LLSJ,TJL
HIT,LLJS,LLSJ,TJO
HIT,LLJS,LLSJ,TJS
HIT,LLJS,LLSJ,TJZ
HIT,LLJS,LLSJ,TLI
HIT,LLJS,LLSJ,TLJ
HIT,LLJS,LLSJ,TLO
HIT,LLJS,LLSJ,TLS
HIT,LLJS,LLSJ,TLZ
HIT,LLJS,LLSJ,TOI
HIT,LLJS,LLSJ,TOJ
HIT,LLJS,LLSJ,TOL
HIT,LLJS,LLSJ,TOS
HIT,LLJS,LLSJ,TOZ
HIT,LLJS,LLSJ,TSI
HIT,LLJS,LLSJ,TSJ
HIT,LLJS,LLSJ,TSL
HIT,LLJS,LLSJ,TSO
HIT,LLJS,LLSJ,TSZ
HIT,LLJS,LLSJ,TZI
HIT,LLJS,LLSJ,TZJ
HIT,LLJS,LLSJ,TZL
HIT,LLJS,LLSJ,TZO
HIT,LLJS,LLSJ,TZS
HIT,LLJS,LLSJ,ITJ
HIT,LLJS,LLSJ,ITL
HIT,LLJS,LLSJ,ITO
HIT,LLJS,LLSJ,ITS
HIT,LLJS,LLSJ,ITZ
HIT,LLJS,LLSJ,IJT
HIT,LLJS,LLSJ,IJL
HIT,LLJS,LLSJ,IJO
HIT,LLJS,LLSJ,IJS
HIT,LLJS,LLSJ,IJZ
HIT,LLJS,LLSJ,ILT
MISS,LLJS,LLSJ,ILJ
MISS,LLJS,LLSJ,ILO
MISS,LLJS,LLSJ,ILS
MISS,LLJS,LLSJ,ILZ
MISS,LLJS,LLSJ,IOT
MISS,LLJS,LLSJ,IOJ
MISS,LLJS,LLSJ,IOL
MISS,LLJS,LLSJ,IOS
